SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,NBA_FANTASY_PTS_RANK_ESPN,NET_ESPN,AVG_NET_ESPN
2022-23,Nikola Jokic,DEN,28.0,1.0,4215.0,51.0
2022-23,Chris Paul,PHX,38.0,2.0,3993.0,49.0
2022-23,James Harden,PHI,33.0,3.5,3943.0,48.0
2022-23,Stephen Curry,GSW,35.0,3.5,3919.0,48.0
2022-23,Giannis Antetokounmpo,MIL,28.0,5.0,3459.0,42.0
2022-23,Ben Simmons,PHI,25.0,6.0,3347.0,41.0
2022-23,Russell Westbrook,LAL,34.0,7.0,3313.0,40.0
2022-23,LeBron James,LAL,38.0,8.5,3205.0,39.0
2022-23,Paul George,LAC,33.0,8.5,3186.0,39.0
2022-23,Luka Doncic,DAL,24.0,10.5,3134.0,38.0
2022-23,Anthony Davis,LAL,30.0,10.5,3120.0,38.0
2022-23,De'Aaron Fox,SAC,25.0,12.5,3021.0,37.0
2022-23,DeAndre Jordan,PHI,34.0,12.5,3073.0,37.0
2022-23,Hassan Whiteside,UTA,34.0,14.5,2970.0,36.0
2022-23,Andre Drummond,BKN,29.0,14.5,2942.0,36.0
2022-23,Trae Young,ATL,24.0,17.0,2837.0,35.0
2022-23,Kyrie Irving,BKN,31.0,17.0,2835.0,35.0
2022-23,Domantas Sabonis,SAC,27.0,17.0,2870.0,35.0
2022-23,Damian Lillard,POR,32.0,19.5,2820.0,34.0
2022-23,Donovan Mitchell,UTA,26.0,19.5,2804.0,34.0
2022-23,LaMarcus Aldridge,BKN,37.0,22.5,2739.0,33.0
2022-23,Nikola Vucevic,CHI,32.0,22.5,2672.0,33.0
2022-23,Al Horford,BOS,37.0,22.5,2702.0,33.0
2022-23,Rudy Gobert,UTA,31.0,22.5,2694.0,33.0
2022-23,Paul Millsap,PHI,38.0,25.5,2649.0,32.0
2022-23,CJ McCollum,NOP,31.0,25.5,2618.0,32.0
2022-23,Terry Rozier,CHA,29.0,28.0,2562.0,31.0
2022-23,Kyle Lowry,MIA,37.0,28.0,2549.0,31.0
2022-23,Gordon Hayward,CHA,33.0,28.0,2550.0,31.0
2022-23,Devin Booker,PHX,26.0,31.5,2466.0,30.0
2022-23,Jimmy Butler,MIA,33.0,31.5,2444.0,30.0
2022-23,Scottie Barnes,TOR,21.0,31.5,2458.0,30.0
2022-23,Joel Embiid,PHI,29.0,31.5,2442.0,30.0
2022-23,Zach LaVine,CHI,28.0,37.0,2376.0,29.0
2022-23,Brandon Ingram,NOP,25.0,37.0,2374.0,29.0
2022-23,Kevin Love,CLE,34.0,37.0,2366.0,29.0
2022-23,Klay Thompson,GSW,33.0,37.0,2394.0,29.0
2022-23,Shai Gilgeous-Alexander,OKC,24.0,37.0,2402.0,29.0
2022-23,Jayson Tatum,BOS,25.0,37.0,2355.0,29.0
2022-23,Dejounte Murray,SAS,26.0,37.0,2391.0,29.0
2022-23,John Wall,HOU,31.0,45.5,2314.0,28.0
2022-23,Goran Dragic,BKN,37.0,45.5,2314.0,28.0
2022-23,Karl-Anthony Towns,MIN,27.0,45.5,2335.0,28.0
2022-23,Trevor Ariza,LAL,38.0,45.5,2278.0,28.0
2022-23,Jaylen Brown,BOS,26.0,45.5,2336.0,28.0
2022-23,Brook Lopez,MIL,35.0,45.5,2314.0,28.0
2022-23,Jamal Murray,DEN,25.0,45.5,2318.0,28.0
2022-23,Rudy Gay,UTA,36.0,45.5,2336.0,28.0
2022-23,Markieff Morris,MIA,33.0,45.5,2294.0,28.0
2022-23,Evan Mobley,CLE,22.0,45.5,2322.0,28.0
2022-23,Pascal Siakam,TOR,29.0,56.5,2179.0,27.0
2022-23,Danny Green,PHI,36.0,56.5,2252.0,27.0
2022-23,Ish Smith,WAS,34.0,56.5,2208.0,27.0
2022-23,Michael Porter Jr.,DEN,25.0,56.5,2180.0,27.0
2022-23,T.J. Warren,IND,28.0,56.5,2209.0,27.0
2022-23,Buddy Hield,IND,30.0,56.5,2216.0,27.0
2022-23,Devonte' Graham,NOP,28.0,56.5,2194.0,27.0
2022-23,Malcolm Brogdon,IND,30.0,56.5,2193.0,27.0
2022-23,Reggie Jackson,LAC,33.0,56.5,2183.0,27.0
2022-23,Anthony Edwards,MIN,21.0,56.5,2211.0,27.0
