SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,NBA_FANTASY_PTS_RANK_ESPN,NET_ESPN,AVG_NET_ESPN
2022-23,Nikola Jokic,DEN,28.0,1.0,3929.0,47.91
2022-23,LeBron James,LAL,38.0,2.0,3685.0,44.94
2022-23,Kevin Durant,BKN,34.0,3.0,3433.0,41.87
2022-23,Giannis Antetokounmpo,MIL,28.0,4.0,3365.0,41.04
2022-23,Karl-Anthony Towns,MIN,27.0,5.0,3253.0,39.67
2022-23,Joel Embiid,PHI,29.0,6.0,3242.0,39.54
2022-23,Russell Westbrook,LAL,34.0,7.0,3132.0,38.2
2022-23,Ben Simmons,PHI,25.0,8.0,3014.0,36.76
2022-23,Luka Doncic,DAL,24.0,9.0,2991.0,36.48
2022-23,Chris Paul,PHX,38.0,10.0,2916.0,35.56
2022-23,James Harden,PHI,33.0,11.0,2899.0,35.35
2022-23,Trae Young,ATL,24.0,12.0,2877.0,35.09
2022-23,Pascal Siakam,TOR,29.0,13.0,2811.0,34.28
2022-23,Stephen Curry,GSW,35.0,14.0,2745.0,33.48
2022-23,Damian Lillard,POR,32.0,15.0,2718.0,33.15
2022-23,Anthony Davis,LAL,30.0,16.0,2683.0,32.72
2022-23,Julius Randle,NYK,28.0,17.0,2612.0,31.85
2022-23,Bradley Beal,WAS,30.0,18.0,2563.0,31.26
2022-23,Domantas Sabonis,SAC,27.0,19.0,2557.0,31.18
2022-23,Donovan Mitchell,UTA,26.0,20.0,2510.0,30.61
2022-23,Devin Booker,PHX,26.0,21.0,2498.0,30.46
2022-23,Rudy Gobert,UTA,31.0,22.0,2484.0,30.29
2022-23,Khris Middleton,MIL,31.0,22.0,2484.0,30.29
2022-23,Andre Drummond,BKN,29.0,24.0,2475.0,30.18
2022-23,Scottie Barnes,TOR,21.0,25.0,2458.0,29.98
2022-23,LaMarcus Aldridge,BKN,37.0,26.0,2450.0,29.88
2022-23,Fred VanVleet,TOR,29.0,27.0,2438.0,29.73
2022-23,Clint Capela,ATL,29.0,28.0,2437.0,29.72
2022-23,Ja Morant,MEM,23.0,29.0,2414.0,29.44
2022-23,Jayson Tatum,BOS,25.0,30.0,2391.0,29.16
2022-23,Deandre Ayton,PHX,24.0,31.0,2390.0,29.15
2022-23,John Wall,HOU,31.0,32.0,2388.0,29.12
2022-23,Kawhi Leonard,LAC,31.0,33.0,2378.0,29.0
2022-23,Dwight Howard,LAL,37.0,34.0,2355.0,28.72
2022-23,Buddy Hield,IND,30.0,35.0,2342.0,28.56
2022-23,Evan Mobley,CLE,22.0,36.0,2322.0,28.32
2022-23,Draymond Green,GSW,33.0,37.0,2317.0,28.26
2022-23,Blake Griffin,BKN,34.0,38.0,2305.0,28.11
2022-23,Kyle Lowry,MIA,37.0,39.0,2281.0,27.82
2022-23,Jrue Holiday,MIL,33.0,40.0,2272.0,27.71
2022-23,Kyrie Irving,BKN,31.0,41.0,2266.0,27.63
2022-23,DeMar DeRozan,CHI,33.0,42.0,2250.0,27.44
2022-23,CJ McCollum,NOP,31.0,43.0,2248.0,27.41
2022-23,Andrew Wiggins,GSW,28.0,44.0,2243.0,27.35
2022-23,Carmelo Anthony,LAL,39.0,45.0,2230.0,27.2
2022-23,Kemba Walker,NYK,33.0,46.0,2219.0,27.06
2022-23,Nikola Vucevic,CHI,32.0,48.0,2212.0,26.98
2022-23,Jonas Valanciunas,NOP,31.0,48.0,2212.0,26.98
2022-23,Anthony Edwards,MIN,21.0,49.0,2211.0,26.96
2022-23,Jaylen Brown,BOS,26.0,50.0,2200.0,26.83
2022-23,Franz Wagner,ORL,21.0,51.0,2188.0,26.68
2022-23,Klay Thompson,GSW,33.0,52.0,2170.0,26.46
2022-23,Terry Rozier,CHA,29.0,53.0,2123.0,25.89
2022-23,Paul Millsap,PHI,38.0,54.0,2112.0,25.76
2022-23,Cade Cunningham,DET,21.0,55.0,2111.0,25.74
2022-23,Al Horford,BOS,37.0,56.0,2104.0,25.66
2022-23,Zach LaVine,CHI,28.0,57.0,2099.0,25.6
2022-23,Paul George,LAC,33.0,58.0,2085.0,25.43
2022-23,Brandon Ingram,NOP,25.0,59.0,2081.0,25.38
2022-23,Kristaps Porzingis,WAS,27.0,60.0,2072.0,25.27
2022-23,Mike Conley,UTA,35.0,61.0,2064.0,25.17
2022-23,Jakob Poeltl,SAS,27.0,62.0,2024.0,24.68
2022-23,Mikal Bridges,PHX,26.0,63.0,2016.0,24.59
2022-23,D'Angelo Russell,MIN,27.0,64.0,2009.0,24.5
2022-23,Harrison Barnes,SAC,31.0,65.0,2001.0,24.4
2022-23,Jimmy Butler,MIA,33.0,66.0,1992.0,24.29
2022-23,Thaddeus Young,TOR,35.0,67.0,1990.0,24.27
2022-23,Serge Ibaka,MIL,33.0,68.0,1988.0,24.24
2022-23,Darius Garland,CLE,23.0,69.0,1974.0,24.07
2022-23,Rudy Gay,UTA,36.0,70.0,1967.0,23.99
2022-23,Kevin Love,CLE,34.0,71.0,1946.0,23.73
2022-23,Jordan Clarkson,UTA,31.0,72.0,1943.0,23.7
2022-23,Hassan Whiteside,UTA,34.0,73.0,1938.0,23.63
2022-23,Herbert Jones,NOP,24.0,74.0,1935.0,23.6
2022-23,Lonzo Ball,CHI,25.0,75.0,1898.0,23.15
2022-23,Bam Adebayo,MIA,25.0,76.0,1890.0,23.05
2022-23,Rajon Rondo,CLE,37.0,77.0,1889.0,23.04
2022-23,Aaron Gordon,DEN,27.0,78.0,1884.0,22.98
2022-23,Robert Covington,LAC,32.0,79.0,1882.0,22.95
2022-23,John Collins,ATL,25.0,80.0,1873.0,22.84
2022-23,Myles Turner,IND,27.0,81.0,1861.0,22.7
2022-23,Brook Lopez,MIL,35.0,82.0,1859.0,22.67
2022-23,Tyrese Haliburton,IND,23.0,83.0,1858.0,22.66
2022-23,Shai Gilgeous-Alexander,OKC,24.0,84.0,1847.0,22.52
2022-23,Jae'Sean Tate,HOU,27.0,86.0,1834.0,22.37
2022-23,Montrezl Harrell,CHA,29.0,86.0,1834.0,22.37
2022-23,DeAndre Jordan,PHI,34.0,87.0,1825.0,22.26
2022-23,Gordon Hayward,CHA,33.0,88.0,1820.0,22.2
2022-23,Ricky Rubio,IND,32.0,89.0,1815.0,22.13
2022-23,De'Aaron Fox,SAC,25.0,90.0,1813.0,22.11
2022-23,LaMelo Ball,CHA,21.0,91.0,1803.0,21.99
2022-23,Marcus Smart,BOS,29.0,92.0,1799.0,21.94
2022-23,Christian Wood,HOU,27.0,93.0,1797.0,21.91
2022-23,Bojan Bogdanovic,UTA,34.0,94.0,1794.0,21.88
2022-23,Andre Iguodala,GSW,39.0,95.0,1793.0,21.87
2022-23,Steven Adams,MEM,29.0,96.0,1792.0,21.85
2022-23,Evan Fournier,NYK,30.0,97.0,1788.0,21.8
2022-23,Jusuf Nurkic,POR,28.0,98.0,1784.0,21.76
2022-23,Jamal Murray,DEN,25.0,99.0,1781.0,21.72
2022-23,Dennis Schroder,HOU,29.0,100.0,1780.0,21.71
2022-23,Miles Bridges,CHA,25.0,101.0,1779.0,21.7
2022-23,Will Barton,DEN,32.0,102.0,1759.0,21.45
2022-23,Kyle Kuzma,WAS,27.0,103.0,1754.0,21.39
2022-23,Dorian Finney-Smith,DAL,30.0,104.0,1753.0,21.38
2022-23,Tobias Harris,PHI,30.0,105.0,1750.0,21.34
2022-23,Eric Bledsoe,POR,33.0,106.0,1744.0,21.27
2022-23,Nicolas Batum,LAC,34.0,107.0,1732.0,21.12
2022-23,Kendrick Nunn,MIA,26.0,108.0,1710.0,20.85
2022-23,Bogdan Bogdanovic,ATL,30.0,109.0,1707.0,20.82
2022-23,Ivica Zubac,LAC,26.0,110.0,1699.0,20.72
2022-23,Dario Saric,PHX,28.0,111.0,1686.0,20.56
2022-23,Jarrett Allen,CLE,25.0,112.0,1685.0,20.55
2022-23,Goran Dragic,BKN,37.0,113.0,1681.0,20.5
2022-23,Jalen Green,HOU,21.0,114.0,1680.0,20.49
2022-23,Collin Sexton,CLE,24.0,115.0,1679.0,20.48
2022-23,Davion Mitchell,SAC,24.0,116.0,1674.0,20.41
2022-23,Bobby Portis,MIL,28.0,117.0,1667.0,20.33
2022-23,Jerami Grant,DET,29.0,118.0,1665.0,20.3
2022-23,Tyler Herro,MIA,23.0,119.0,1663.0,20.28
2022-23,Trevor Ariza,LAL,38.0,120.0,1660.0,20.24
2022-23,Kevin Huerter,ATL,24.0,122.0,1658.0,20.22
2022-23,Mason Plumlee,CHA,33.0,122.0,1658.0,20.22
2022-23,Josh Giddey,OKC,20.0,124.0,1652.0,20.15
2022-23,Jae Crowder,PHX,32.0,124.0,1652.0,20.15
2022-23,Danilo Gallinari,ATL,34.0,125.0,1651.0,20.13
